Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Number of triangles,Eigenvector Centrality
BMLL,BMLL,2,2.0,27.0,0.12062719347899922,1.0971751579795081E-7,0.0,0,0.0032496610151263984
BNWC,BNWC,2,2.0,26.0,0.13715205148833468,3.201630545839387E-4,0.0,0,0.007630078070379532
BRW,BRW,2,2.0,27.0,0.11302941098469779,0.0014018606993504174,0.0,0,0.004701227399754585
MKS,MKS,2,2.0,28.0,0.10156324468592126,9.347932345985408E-4,0.0,0,0.002795452146427403
LKW,LKW,2,2.0,29.0,0.0922051792397724,4.675063348150684E-4,0.0,0,0.0023781875065706287
FKA,FKA,1,1.0,30.0,0.08442278741779574,0.0,0.0,0,0.0012928872782140637
SID,SID,6,25.0,26.0,0.13838560945515943,5.514949996047701E-4,0.4666666666666667,7,0.03523444323020467
STSN,STSN,2,2.0,25.0,0.13630548803888962,0.0,1.0,1,0.010149807912232618
BTIC,BTIC,2,4.0,26.0,0.12738358539063901,0.0,1.0,1,0.018136221578168063
SGF,SGF,4,8.0,26.0,0.1274064330981705,4.669833793313621E-4,0.3333333333333333,2,0.02184822253429729
MBY,MBY,7,13.0,26.0,0.1274254791162137,0.002279476590278243,0.23809523809523808,5,0.02799506526457186
DABN,DABN,4,8.0,27.0,0.11314643729425508,2.3731777668557582E-4,0.5,3,0.010671867243915646
SGRA,SGRA,4,12.0,27.0,0.11337820222925701,1.6673142221330634E-5,0.3333333333333333,2,0.013294234452877599
MNSR,MNSR,3,8.0,27.0,0.11335709346241822,3.0903766949756143E-7,0.6666666666666666,2,0.008700011738040723
HMH,HMH,7,16.0,26.0,0.12781526465736992,0.002772654254229821,0.14285714285714285,3,0.026634554347174218
PGK,PGK,5,16.0,27.0,0.11686317521250343,9.642533552134265E-4,0.3,3,0.012777462081039883
MHJ,MHJ,6,14.0,25.0,0.13317917630148116,0.002634859364340799,0.2,3,0.016398787163129185
DHRR,DHRR,5,8.0,25.0,0.13280568365947898,8.361151659131455E-4,0.3,3,0.01320867724525468
MBF,MBF,1,1.0,25.0,0.13644949575796383,0.0,0.0,0,0.005436351416183529
HDK,HDK,2,2.0,24.0,0.14584901786325372,0.0,1.0,1,0.01829026891783493
SANR,SANR,3,5.0,24.0,0.15049435028248587,2.6120610195631806E-5,0.6666666666666666,2,0.017029157722279375
KHM,KHM,2,4.0,24.0,0.145714383397723,0.0,1.0,1,0.009216993459980465
GKC,GKC,6,11.0,23.0,0.17055504421945658,7.014483707910838E-4,0.4666666666666667,7,0.06364146401910725
SRNT,SRNT,3,6.0,24.0,0.15889941093132504,3.084538710399554E-4,0.3333333333333333,1,0.029191785165993966
SDT,SDT,3,6.0,24.0,0.15817992874109263,4.572713777002341E-6,0.6666666666666666,2,0.03541198970089935
KER,KER,2,4.0,24.0,0.14996481351161153,0.0,1.0,1,0.02248148994832746
JTB,JTB,3,4.0,23.0,0.1672093844403468,6.40018842154713E-8,0.6666666666666666,2,0.041498952577057054
MHH,MHH,3,9.0,24.0,0.14543096976728315,1.0321079193476085E-5,0.6666666666666666,2,0.01581125847972042
GTNR,GTNR,3,10.0,24.0,0.15333141459202762,0.0,1.0,3,0.05249709691287756
LC,LC,8,21.0,23.0,0.17154357013483598,0.003817668463048211,0.25,7,0.1045290156656258
SIPR,SIPR,2,2.0,24.0,0.14330867518493612,0.0,1.0,1,0.007833745432376022
KTRR,KTRR,2,4.0,24.0,0.15139781890518986,6.768880410435137E-6,0.0,0,0.012386202875568488
PTRE,PTRE,2,4.0,24.0,0.14997009043245715,4.937288210907786E-7,0.0,0,0.009163659090830558
GTM,GTM,4,6.0,23.0,0.17631970875393016,0.0014330499792188632,0.0,0,0.08258431025875873
HAR,HAR,2,4.0,24.0,0.14990679188210054,1.4560490000969893E-4,0.0,0,0.008633287659765348
BSZ,BSZ,2,4.0,25.0,0.13081645181092694,5.303013263567622E-7,0.0,0,0.004627538995251223
RGU,RGU,4,6.0,24.0,0.1504890364040818,3.24260361395059E-4,0.16666666666666666,1,0.019948715539868496
ICL,ICL,2,4.0,24.0,0.1504624726399774,0.0,1.0,1,0.012185496058165437
SWC,SWC,2,4.0,24.0,0.14543096976728315,0.0,1.0,1,0.008019950251807855
MDB,MDB,2,4.0,25.0,0.13240136688412552,3.8401130529282784E-7,0.0,0,0.006256818602121386
AMS,AMS,2,2.0,24.0,0.155122838944495,0.0,1.0,1,0.0386025577274921
